4,-2452,3064,15144,-674,-121,-235
7,-2508,3076,15072,-708,-142,-220
10,-2508,2940,14936,-690,-124,-212
14,-2504,3068,15092,-706,-153,-217
17,-2432,3040,15092,-722,-152,-213
20,-2480,3040,15116,-722,-145,-231
23,-2484,3072,14992,-734,-143,-217
26,-2496,2996,15024,-716,-139,-233
30,-2380,3020,14980,-750,-156,-235
33,-2592,3048,14932,-745,-164,-195
36,-2380,3120,15176,-727,-159,-200
39,-2452,3044,14948,-752,-166,-212
43,-2544,3044,15076,-766,-191,-171
47,-2444,3060,15120,-740,-179,-210
50,-2396,3052,15032,-760,-191,-221
53,-2468,3048,15112,-774,-181,-190
56,-2412,3040,15112,-783,-172,-247
59,-2520,3048,14972,-754,-224,-229
63,-2500,2952,15096,-812,-220,-259
66,-2400,2980,15016,-801,-245,-264
69,-2756,3100,15028,-787,-286,-270
72,-2420,2912,15180,-770,-233,-297
75,-2808,3172,15220,-835,-319,-259
79,-2636,3112,15048,-827,-295,-92
82,-2248,3232,15068,-865,-273,-85
86,-2592,2924,14880,-775,-294,-109
89,-2608,3128,15116,-837,-145,38
92,-2816,3268,14652,-802,160,160
95,-3616,3080,14772,-874,796,370
98,-3472,3136,14820,-968,1476,596
102,-3576,3380,14772,-1003,1866,629
105,-3284,3192,14864,-1054,2091,414
108,-3644,3044,15176,-1076,2247,328
112,-3660,2988,14772,-1013,2208,192
115,-3092,2688,14824,-952,1631,-245
118,-2432,2716,14920,-762,492,-940
122,-2016,2812,15252,-518,-943,-1733
125,-2552,2840,15068,-337,-1973,-2166
129,-3732,2680,14668,-355,-2079,-1974
132,-3976,2804,14616,-462,-1504,-1337
136,-3648,3072,14720,-628,-905,-615
139,-2548,2924,14812,-764,-610,-167
142,-1388,3132,15028,-805,-876,-217
146,-1120,3440,15380,-720,-1258,-506
149,-1756,3092,15252,-823,-1178,-492
152,-1920,3024,15112,-963,-632,-323
155,-1744,3020,15332,-1038,-30,-167
159,-1608,2856,15456,-1076,459,-38
162,-976,2912,15468,-1045,484,-101
165,68,2724,15776,-908,-62,-527
168,128,3104,15924,-637,-894,-1116
173,-1364,3120,15428,-487,-1021,-1296
176,-2360,2592,15316,-652,-303,-712
179,-1732,3216,15372,-783,224,-285
182,-1664,3328,15008,-760,455,-122
186,-2300,3116,15340,-929,848,310
189,-2508,3184,15352,-1112,1033,703
192,-2320,3404,15164,-1196,1105,919
196,-2648,3036,15024,-1246,1145,1068
199,-2668,3216,15084,-1284,1004,1117
202,-2820,2992,14832,-1236,797,978
206,-2840,2892,14720,-1157,550,671
209,-3004,2720,14732,-1054,243,356
212,-3144,2752,14812,-953,-130,-73
216,-3144,2852,14892,-827,-478,-394
220,-3304,2704,14808,-783,-729,-692
223,-3288,3012,14588,-671,-1024,-897
226,-3124,2876,14756,-633,-1286,-1071
229,-3116,2880,14756,-633,-1522,-1148
233,-3020,2940,14804,-673,-1677,-1118
236,-2928,3052,14920,-728,-1785,-986
239,-2728,3136,15116,-811,-1763,-757
243,-2596,3280,15036,-873,-1686,-516
246,-2416,3084,15248,-934,-1540,-303
249,-2400,3092,15216,-1018,-1346,-79
253,-2272,3012,15224,-1053,-1123,84
257,-2048,2920,15240,-1085,-885,141
260,-2060,2836,15380,-1059,-559,160
264,-2084,2904,15324,-1058,-294,151
267,-1988,2924,15324,-996,-34,33
270,-2008,2908,15392,-950,139,-56
273,-1988,2968,15472,-909,266,-169
276,-2204,2984,15212,-895,362,-246
280,-2376,3072,15096,-902,495,-222
283,-2632,3080,14952,-875,525,-181
286,-2716,3152,15136,-896,469,-176
289,-2620,3240,14828,-913,252,-231
292,-2736,3104,14984,-939,52,-266
296,-3104,3048,14644,-978,-104,-176
300,-3064,3028,14928,-1022,-162,-55
303,-3056,3084,14876,-1035,-236,89
306,-2928,2916,14652,-1010,-416,131
310,-2744,2932,14640,-965,-669,43
313,-2844,2772,14876,-947,-855,-87
316,-2852,2968,14964,-904,-934,-124
319,-2880,2916,14896,-876,-943,-191
323,-2796,2944,14828,-869,-905,-249
326,-2428,2948,15052,-795,-953,-434
329,-2452,3148,15128,-775,-1024,-630
332,-2432,3092,15144,-767,-993,-751
336,-2568,3036,15336,-783,-899,-739
339,-2460,3072,15232,-793,-711,-642
343,-2592,3000,15280,-818,-526,-525
346,-2344,2984,15256,-817,-423,-387
350,-2328,3116,15276,-840,-331,-277
353,-2176,3032,15268,-842,-231,-195
356,-2380,3060,15144,-875,-139,-40
359,-2484,3104,15196,-915,29,108
363,-2532,3044,14976,-876,153,237
366,-2140,2960,15152,-903,241,271
369,-2288,3152,15000,-860,142,169
372,-2364,3032,15120,-830,99,29
375,-2656,3040,15112,-825,71,0
378,-2848,3012,14908,-797,146,-55
382,-2748,3020,14720,-761,201,-67
386,-2584,2992,14916,-750,154,-142
389,-2580,3068,14872,-714,-11,-281
392,-2644,3052,14964,-679,-230,-372
395,-2804,3008,14972,-615,-323,-414
399,-2808,3044,15068,-624,-384,-398
402,-2968,3152,15020,-618,-369,-320
405,-2660,2992,14992,-645,-445,-276
408,-2656,3216,15100,-600,-597,-360
412,-2588,2976,15180,-604,-682,-395
415,-2732,3044,15156,-606,-672,-337
418,-2780,2984,15180,-654,-512,-226
421,-2764,3076,15112,-626,-374,-91
425,-2384,3000,15028,-665,-310,-87
429,-2268,3092,15200,-583,-370,-194
432,-2344,2960,15024,-565,-374,-246
435,-2316,3012,15200,-524,-285,-229
439,-2576,2944,15092,-575,-85,-192
442,-2500,3004,14976,-562,75,-131
445,-2224,3012,14988,-551,128,-137
448,-2308,3136,15232,-519,92,-192
451,-2272,2988,14968,-494,118,-224
455,-2584,3156,14820,-510,134,-187
458,-2596,3116,15032,-507,231,-150
461,-2724,3112,15036,-490,304,-64
464,-2520,3128,15068,-529,288,-50
467,-2488,3132,15172,-505,186,-109
472,-2572,3068,14900,-480,70,-122
475,-2872,3052,14944,-462,108,-112
478,-2788,2988,14992,-474,143,-48
481,-2784,2972,14916,-472,176,-6
484,-2660,2984,15072,-481,137,-50
488,-2420,2924,15084,-437,-53,-169
491,-2332,3128,15120,-370,-285,-380
494,-2432,3008,15052,-347,-473,-493
497,-2660,2864,14956,-335,-488,-537
501,-3036,3076,14732,-366,-278,-381
504,-2780,2912,14964,-386,-127,-265
507,-2572,3032,15048,-397,-99,-210
510,-2516,2948,14968,-361,-60,-202
514,-2516,2956,14996,-410,11,-155
518,-2584,3128,15064,-421,110,-111
521,-2648,3000,14988,-451,240,-22
524,-2516,3020,15080,-468,310,-18
527,-2380,3112,15076,-469,228,-146
530,-2348,2984,15156,-430,173,-223
534,-2484,2872,15080,-414,153,-270
537,-2648,2948,14900,-435,231,-204
540,-2768,2956,15096,-464,400,-96
543,-2652,2940,15088,-450,381,-69
546,-2428,2952,15032,-437,328,-138
550,-2536,3112,15104,-408,175,-235
553,-2744,2948,14928,-394,125,-245
557,-2788,2984,15028,-427,147,-215
560,-2608,2996,15156,-449,229,-112
564,-2772,3064,14940,-485,218,-117
567,-2596,3028,15200,-498,143,-162
570,-2424,3000,14928,-452,-11,-216
573,-2496,3008,14976,-456,-21,-235
576,-2712,2984,15024,-483,-7,-245
580,-2524,2968,14944,-502,100,-221
583,-2640,3048,15016,-525,115,-204
586,-2584,2916,14956,-500,84,-263
589,-2368,3080,15128,-514,-56,-307
592,-2324,2936,15032,-480,-93,-396
596,-2596,3008,15080,-488,-60,-371
600,-2456,2964,15044,-521,22,-296
603,-2464,3152,15032,-526,120,-239
606,-2300,2968,14924,-537,88,-212
610,-2304,2920,15072,-555,67,-225
613,-2260,2940,15124,-591,52,-234
616,-2432,3080,15172,-584,71,-157
619,-2456,3016,15224,-652,150,-103
622,-2480,3104,15160,-654,200,-58
625,-2376,3012,15056,-652,182,-60
629,-2436,2968,15008,-651,101,-119
632,-2396,3112,15060,-634,52,-183
635,-2368,3044,15104,-659,20,-199
638,-2440,3000,15064,-656,29,-222
642,-2516,2988,15004,-636,51,-171
646,-2264,2984,14968,-683,-13,-238
649,-2224,3072,15124,-618,-120,-365
652,-2432,2996,15100,-623,-188,-397
655,-2664,3056,14936,-665,-208,-338
659,-2604,3048,14972,-694,-69,-263
662,-2640,2924,14932,-702,13,-178
665,-2508,3048,15072,-760,41,-104
668,-2364,3036,15164,-738,-43,-133
671,-2416,3024,15076,-726,-110,-175
675,-2488,2992,15016,-747,-133,-176
678,-2504,3016,14988,-744,-135,-182
681,-2552,3012,15120,-758,-115,-153
685,-2392,3088,15228,-786,-125,-140
689,-2296,3028,14904,-725,-308,-303
692,-2208,3040,15072,-686,-494,-432
695,-2404,2932,15148,-715,-561,-459
698,-2772,3008,14812,-738,-413,-338
702,-2772,3004,14824,-794,-164,-150
705,-2500,2928,14888,-843,-88,-46
708,-2268,3072,15100,-848,-149,-102
711,-2248,3048,15032,-806,-301,-177
714,-2460,3124,15068,-795,-363,-211
718,-2676,2996,15128,-851,-261,-177
721,-2800,2944,15020,-869,-125,-102
724,-2596,2980,15044,-900,-76,-83
728,-2412,2976,15000,-874,-153,-157
732,-2564,2992,14936,-854,-255,-251
735,-2524,2936,14936,-839,-287,-275
738,-2696,2940,15004,-842,-266,-275
741,-2684,2932,15008,-835,-200,-230
745,-2712,3044,14964,-872,-234,-209
748,-2432,2900,14892,-870,-380,-320
751,-2244,3080,14952,-837,-635,-483
754,-2280,2992,14928,-832,-842,-587
758,-2556,2948,15032,-847,-900,-547
761,-2876,2900,14892,-892,-680,-363
764,-2708,2968,14940,-980,-513,-159
768,-2256,3064,15188,-948,-538,-146
772,-2092,3064,14868,-936,-676,-209
775,-2244,2872,15232,-950,-707,-257
778,-2532,3012,15060,-976,-583,-143
