4,-2700,3004,15020,-830,-192,-207,0
7,-2676,2908,15020,-811,-221,-226,0
11,-2652,2936,14996,-833,-220,-213,0
14,-2620,2928,15028,-804,-187,-246,0
17,-2660,2940,15040,-810,-203,-242,0
20,-2740,2916,15060,-811,-185,-243,0
24,-2604,3008,15116,-812,-212,-237,0
27,-2768,2968,15120,-788,-203,-218,0
30,-2688,2856,15156,-793,-175,-245,0
33,-2656,3004,15008,-779,-202,-234,0
37,-2680,3028,15084,-798,-184,-246,0
40,-2660,2924,15016,-791,-201,-255,0
44,-2716,2996,15072,-812,-198,-234,0
48,-2604,3036,15144,-786,-188,-198,0
51,-2572,2976,14880,-804,-171,-209,0
54,-2736,2956,15080,-778,-190,-224,0
57,-2676,2852,15144,-784,-180,-193,0
61,-2648,2944,15052,-762,-190,-232,0
64,-2664,2940,15084,-789,-215,-251,0
67,-2520,3064,14972,-770,-210,-230,0
70,-2684,2828,14884,-747,-234,-283,0
74,-2872,3056,14904,-713,-228,-242,0
77,-2812,2796,14972,-723,-218,-195,0
80,-2736,3112,15424,-797,-279,-26,0
84,-3056,3120,14928,-800,-183,8,0
88,-2488,3264,15076,-723,-238,-4,0
91,-2836,3036,14848,-701,-97,23,0
94,-3332,3008,14880,-778,330,122,0
97,-3856,3020,14828,-839,977,358,0
100,-3792,2700,14676,-906,1584,553,0
104,-3612,3168,14848,-877,1915,518,0
107,-3760,2696,14764,-905,2105,406,0
111,-3928,2668,14868,-909,2140,282,0
114,-3084,2836,14920,-782,1598,-218,0
117,-2268,3024,15176,-514,404,-944,0
121,-2116,2744,15124,-257,-1070,-1793,0
124,-2796,3180,15256,-59,-2087,-2226,0
128,-3580,2836,14860,-164,-2170,-2020,0
132,-3732,2852,14516,-371,-1639,-1333,0
135,-3392,3152,14588,-530,-1020,-615,0
139,-2336,2860,14928,-680,-802,-114,0
142,-1700,3124,15072,-679,-978,20,0
145,-1520,3152,15088,-648,-1098,-44,0
149,-1716,2820,15224,-705,-973,-6,0
152,-1580,2928,15160,-757,-629,-13,0
155,-1412,2960,15256,-762,-383,-123,0
158,-1232,2780,15384,-750,-221,-309,0
162,-1236,2868,15664,-678,-85,-449,0
165,-1336,2836,15464,-592,23,-554,0
168,-2016,3104,15712,-609,386,-455,0
173,-2244,2928,15324,-610,791,-262,0
176,-2160,3360,15484,-598,1139,-197,0
179,-2516,3076,15320,-700,1303,115,0
183,-2984,3128,15000,-821,1461,581,0
186,-2616,3288,15092,-865,1401,547,0
189,-2944,2952,15160,-892,1104,551,0
193,-2628,2884,15180,-912,450,458,0
196,-2492,3264,15292,-790,-295,41,0
199,-2576,2528,15032,-734,-1088,-205,0
203,-2812,2852,14876,-659,-1651,-340,0
206,-2324,2708,14932,-577,-2079,-602,0
209,-2264,2872,15000,-505,-2548,-815,0
214,-2712,2764,14640,-483,-2597,-771,0
217,-2988,2916,14524,-544,-2167,-483,0
221,-3312,2644,14292,-686,-1379,-17,0
224,-3076,2840,14476,-826,-557,418,0
227,-2436,2848,14972,-878,-243,599,0
231,-1976,3212,15104,-779,-237,366,0
234,-2052,3080,15280,-724,-318,67,0
237,-2568,2924,15280,-792,-269,-124,0
240,-2920,3092,15284,-788,9,-143,0
244,-2816,2748,15248,-862,206,-92,0
247,-2456,3184,15648,-763,3,-291,0
250,-2168,3020,15772,-609,-561,-647,0
253,-2272,2784,15572,-565,-1197,-773,0
258,-3112,3188,15448,-528,-1316,-738,0
261,-3356,2768,15032,-633,-1061,-283,0
265,-3440,2932,14928,-772,-617,130,0
268,-2984,3104,14784,-848,-443,409,0
271,-2704,2812,14900,-838,-501,531,0
274,-2664,3024,14924,-802,-584,481,0
278,-2824,3076,14844,-805,-615,390,0
281,-3216,2748,14448,-856,-366,337,0
284,-2956,2828,14684,-881,-235,243,0
288,-2068,2980,15008,-780,-515,-147,0
291,-1812,2948,15028,-632,-1036,-625,0
294,-2324,2884,15108,-527,-1357,-1037,0
299,-3172,2864,14804,-519,-1178,-929,0
302,-3496,3012,14896,-554,-627,-573,0
306,-3340,2832,14800,-671,-180,-248,0
309,-2504,2960,15132,-712,-309,-96,0
312,-1864,3204,15436,-613,-848,-330,0
316,-1816,3104,15296,-574,-1426,-548,0
319,-2500,3088,15332,-568,-1563,-568,0
322,-3160,3228,15016,-689,-1200,-244,0
326,-2920,2904,15036,-840,-632,190,0
329,-2336,2936,15260,-846,-419,321,0
332,-2200,3088,15312,-835,-444,251,0
336,-2472,2992,15100,-797,-361,162,0
339,-2764,2904,15220,-778,-45,234,0
343,-3096,2744,14876,-843,439,402,0
346,-2544,2848,14904,-847,610,341,0
350,-1996,2956,15196,-739,317,-5,0
353,-2344,2856,14968,-620,-160,-439,0
356,-2692,2908,15052,-591,-352,-643,0
360,-3160,2944,14812,-589,-189,-499,0
